Player,Team,"Year 
Signed",Years,Value,APY,Guaranteed,"APY as % Of 
Cap At Signing","Inflated 
Value","Inflated 
APY","Inflated 
Guaranteed"
Ben DiNucci,Broncos,2023,1,"$252,333","$252,333",$0,0.1%,"$286,681","$286,681",$0
Ben DiNucci,Broncos,2023,1,"$216,000","$216,000",$0,0.1%,"$245,402","$245,402",$0
Ben DiNucci,Cowboys,2021,1,"$165,600","$165,600",$0,0.1%,"$231,749","$231,749",$0
Ben Roethlisberger,Steelers,2019,2,"$68,000,000","$34,000,000","$50,000,000",18.1%,"$92,280,553","$46,140,276","$67,853,348"
Ben Roethlisberger,Steelers,2015,4,"$87,400,000","$21,850,000","$64,000,000",15.2%,"$155,792,574","$38,948,143","$114,081,519"
Ben Roethlisberger,Steelers,2008,6,"$87,986,500","$14,664,417","$33,200,000",12.6%,"$193,722,001","$32,287,001","$73,097,241"
Ben Roethlisberger,Steelers,2021,1,"$14,000,000","$14,000,000","$14,000,000",7.7%,"$19,592,329","$19,592,329","$19,592,329"
Ben Roethlisberger,Steelers,2004,6,"$25,219,500","$4,203,250","$9,009,500",5.2%,"$79,931,750","$13,321,958","$28,555,090"
Blaine Gabbert,JAX/SF,2011,4,"$12,001,646","$3,000,412","$12,001,646",2.5%,"$25,463,928","$6,365,983","$25,463,928"
Blaine Gabbert,49ers,2015,2,"$4,000,000","$2,000,000","$500,000",1.4%,"$7,130,095","$3,565,047","$891,262"
Blaine Gabbert,Titans,2018,2,"$4,000,000","$2,000,000","$1,000,000",1.1%,"$5,765,237","$2,882,619","$1,441,309"
Blaine Gabbert,Buccaneers,2021,1,"$2,000,000","$2,000,000","$1,500,000",1.1%,"$2,798,904","$2,798,904","$2,099,178"
Blaine Gabbert,Buccaneers,2022,1,"$2,250,000","$2,250,000","$1,750,000",1.1%,"$2,760,086","$2,760,086","$2,146,734"
Blaine Gabbert,Buccaneers,2019,1,"$1,600,000","$1,600,000","$500,000",0.9%,"$2,171,307","$2,171,307","$678,533"
Blaine Gabbert,Buccaneers,2020,1,"$1,187,500","$1,187,500","$887,500",0.6%,"$1,530,209","$1,530,209","$1,143,630"
Blaine Gabbert,Chiefs,2023,1,"$1,317,500","$1,317,500","$1,092,500",0.6%,"$1,496,839","$1,496,839","$1,241,212"
Blaine Gabbert,Cardinals,2017,1,"$855,000","$855,000","$80,000",0.5%,"$1,307,587","$1,307,587","$122,347"
Blake Bortles,Jaguars,2018,2,"$34,947,000","$17,483,500","$26,500,000",9.9%,"$50,369,435","$25,199,130","$38,194,695"
Blake Bortles,Jaguars,2014,4,"$20,654,802","$5,163,701","$20,654,802",3.9%,"$39,663,432","$9,915,859","$39,663,432"
Blake Bortles,Packers,2021,1,"$1,075,000","$1,075,000",$0,0.6%,"$1,504,411","$1,504,411",$0
Blake Bortles,Saints,2022,1,"$1,120,000","$1,120,000",$0,0.5%,"$1,373,910","$1,373,910",$0
Blake Bortles,Rams,2019,1,"$1,000,000","$1,000,000","$1,000,000",0.5%,"$1,357,067","$1,357,067","$1,357,067"
Blake Bortles,Broncos,2020,1,"$910,000","$910,000",$0,0.5%,"$1,172,624","$1,172,624",$0
Blake Bortles,Rams,2020,1,"$910,000","$910,000",$0,0.5%,"$1,172,624","$1,172,624",$0
Blake Bortles,Saints,2021,1,"$252,000","$252,000",$0,0.1%,"$352,662","$352,662",$0
Blake Bortles,Packers,2021,1,"$252,000","$252,000",$0,0.1%,"$352,662","$352,662",$0
Blake Bortles,Broncos,2020,1,"$204,000","$204,000",$0,0.1%,"$262,874","$262,874",$0
Bo Nix,Broncos,2024,4,"$18,613,166","$4,653,292","$18,613,166",1.8%,"$18,613,166","$4,653,292","$18,613,166"
Brad Kaaya,CAR/DET,2017,4,"$2,523,356","$630,839","$123,356",0.4%,"$3,859,073","$964,768","$188,653"
Brad Kaaya,Colts,2017,2,"$1,020,000","$510,000",$0,0.3%,"$1,559,928","$779,964",$0
Brad Kaaya,Lions,2017,1,"$255,000","$255,000",$0,0.2%,"$389,982","$389,982",$0
Brad Sorensen,Chargers,2013,4,"$2,219,400","$554,850","$59,400",0.5%,"$4,608,413","$1,152,103","$123,340"
Brad Sorensen,Chargers,2015,2,"$1,110,000","$555,000",$0,0.4%,"$1,978,601","$989,301",$0
Brad Sorensen,Chargers,2015,1,"$510,000","$510,000",$0,0.4%,"$909,087","$909,087",$0
Brad Sorensen,Chargers,2016,1,"$525,000","$525,000",$0,0.3%,"$863,560","$863,560",$0
Brad Sorensen,Vikings,2016,1,"$525,000","$525,000",$0,0.3%,"$863,560","$863,560",$0
Brad Sorensen,Chargers,2014,1,"$107,100","$107,100",$0,0.1%,"$205,664","$205,664",$0
Brad Sorensen,Titans,2014,1,"$107,100","$107,100",$0,0.1%,"$205,664","$205,664",$0
Brad Sorensen,Chargers,2015,1,"$112,200","$112,200",$0,0.1%,"$199,999","$199,999",$0
Brady Quinn,Rams,0,1,"$855,000","$855,000",$0,0%,$0,$0,$0
Brandon Allen,Bengals,2021,1,"$1,500,000","$1,500,000","$300,000",0.8%,"$2,099,178","$2,099,178","$419,836"
Brandon Allen,49ers,2024,1,"$2,020,000","$2,020,000","$700,000",0.8%,"$2,020,000","$2,020,000","$700,000"
Brandon Allen,Bengals,2022,1,"$1,500,000","$1,500,000","$300,000",0.7%,"$1,840,058","$1,840,058","$368,012"
Brandon Allen,Bengals,2022,1,"$1,200,000","$1,200,000",$0,0.6%,"$1,472,046","$1,472,046",$0
Brandon Allen,49ers,2023,1,"$1,232,500","$1,232,500","$200,000",0.5%,"$1,400,269","$1,400,269","$227,224"
Brandon Allen,Bengals,2020,1,"$825,000","$825,000",$0,0.4%,"$1,063,093","$1,063,093",$0
Brandon Allen,JAX/LAR,2016,4,"$2,464,272","$616,068","$124,272",0.4%,"$4,053,424","$1,013,356","$204,412"
Brandon Allen,Rams,2019,1,"$645,000","$645,000",$0,0.3%,"$875,308","$875,308",$0
Brandon Allen,Broncos,2019,1,"$645,000","$645,000",$0,0.3%,"$875,308","$875,308",$0
Brandon Allen,Bengals,2020,1,"$204,000","$204,000",$0,0.1%,"$262,874","$262,874",$0
Brandon Allen,Rams,2018,1,"$129,200","$129,200",$0,0.1%,"$186,217","$186,217",$0
Brandon Doughty,Dolphins,2017,2,"$1,020,000","$510,000",$0,0.3%,"$1,559,928","$779,964",$0
Brandon Doughty,MIA/ARI,2018,2,"$1,050,000","$525,000",$0,0.3%,"$1,513,375","$756,687",$0
